B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
3/11/51,6/25/94,0:00,27.75,86.16,5.1,,Dolakha
4/2/51,7/17/94,,29.37,81.52,5.5,,Bajura
5/15/51,8/31/94,,26.09,79.51,6,,India
6/9/51,9/25/94,,28.34,87.35,4.8,,Sankhuwasabha
7/5/51,10/22/94,,29,82.26,4.6,,Jajarkot
7/7/51,10/24/94,,28.92,82,4.7,,Jajarkot
8/5/51,11/21/94,,29.54,81.15,4.2,,Bajhang
8/11/51,11/27/94,,29.72,81.56,4.5,,Bajura
8/26/51,12/12/94,,29.84,80.69,4.6,,Darchula
8/27/51,12/13/94,,28.7,82.88,4.6,,Rukum
10/5/51,1/19/95,,28.35,83.44,4.3,NSC,Magdi
10/15/51,1/29/95,,26.85,86.11,4.5,NSC,Dhanusa
10/16/51,1/30/95,,29.38,82.3,4.2,RSC,Jumla
10/16/51,1/30/95,,29.32,82.19,4.3,RSC,Jumla
11/6/51,2/18/95,,27.74,85.88,4.6,NSC,Kavrepalanchowk
1/4/52,4/17/95,,29.51,81.71,4.7,RSC,Bajura
2/28/52,6/11/95,,27.22,87.95,4.2,NSC,Taplejung
3/7/52,6/21/95,,21.81,85.27,6,NSC,India
4/18/52,8/3/95,,30.04,81.54,4.8,RSC,Humla
4/22/52,8/7/95,,29.88,81.63,5,RSC,Bajura
4/22/52,8/7/95,,25.75,86.24,4.5,NSC,India
6/18/52,10/4/95,5:30,28.27,84.44,4.7,NSC,Lamjung
11/16/52,2/28/96,,27.122,86.766,4.8,NSC,Udayapur
1/14/53,4/26/96,,27.935,87.705,5.3,NSC,Taplejung
3/26/53,7/10/96,,29.616,81.981,4.6,RSC,Mugu
6/30/53,10/16/96,,28.778,79.951,4.4,RSC,
7/19/53,11/4/96,,29.63,81.859,4.9,RSC,Mugu
7/23/53,11/8/96,,29.667,81.699,4.9,RSC,Humla
8/18/53,12/3/96,,27.39,86.842,5.3,NSC,Solukhumbu
9/7/53,12/22/96,,29.012,81.726,4.4,RSC,Dailekh
9/14/53,12/29/96,,29.75,81.828,5.2,RSC,Humla
9/17/53,1/1/97,,27.005,86.561,4.5,NSC,Udayapur
9/21/53,1/5/97,,29.785,80.588,5.6,RSC,Darchula
10/18/53,1/31/97,,28.015,85.301,5,NSC,Rasuwa
10/18/53,1/31/97,,28.078,85.286,5.8,NSC,Rasuwa
10/19/53,2/1/97,,28,85.303,4.7,NSC,Rasuwa
10/21/53,2/3/97,,28.09,85.29,4.7,NSC,Rasuwa
10/21/53,2/3/97,,28.02,85.33,5,NSC,Rasuwa
10/28/53,2/10/97,,28.12,85.33,4.2,NSC,Rasuwa
11/7/53,2/18/97,,29.52,81.33,4.4,RSC,Bajhang
12/11/53,3/24/97,,28.06,85.28,5,NSC,Rasuwa
12/25/53,4/7/97,,27.5,87.746,4.6,NSC,Solukhumbu
2/8/54,5/21/97,,23.71,80.47,6,NSC,India
2/15/54,5/28/97,,28.68,82.58,4.5,RSC,Rukum
6/25/54,10/11/97,,27.65,86.41,4.8,NSC,Ramechhap
7/8/54,10/24/97,,28.66,82.54,5.2,RSC,Rukum
8/11/54,11/26/97,,27.75,86,4.3,NSC,Dolakha
8/12/54,11/27/97,,27.74,87,5.5,NSC,Solukhumbu
8/23/54,12/8/97,,27.19,86.85,5,NSC,Khotang
10/30/54,2/12/98,,27.59,88.19,4.6,NSC,Taplejung
11/10/54,2/22/98,,28.72,85.52,5.5,NSC,Tibet
11/16/54,2/28/98,,27.15,87.86,5,NSC,Panchthar
1/27/55,5/10/98,,29.41,82.38,4.7,RSC,Jumla
2/2/55,5/16/98,,26.76,84.817,4.8,NSC,Parsa
3/13/55,6/27/98,,27.866,85.812,5,NSC,Sankhuwasabha
3/31/55,7/15/98,,29.551,81.247,5.1,NSC,Bajhang
5/18/55,9/3/98,,27.873,86.964,5.6,NSC,Solukhumbu
5/21/55,9/6/98,,27.797,87.015,4.7,NSC,Solukhumbu
5/25/55,9/10/98,,27.444,88.33,5,NSC,Taplejung
6/30/55,10/16/98,,28.077,85.66,4.9,NSC,Sindhupalchowk
8/10/55,11/26/98,,27.859,87.814,5.4,NSC,Taplejung
10/28/55,2/11/99,,28.61,83.348,4.7,NSC,Myagdi
11/7/55,2/19/99,,29.867,80.618,4.6,RSC,Darchula
12/5/55,3/19/99,,27.934,85.834,4.8,NSC,Sindhupalchowk
12/14/55,3/28/99,,30.498,79.257,6.5,RSC,Chamauli/India
12/24/55,4/7/99,,29.596,81.226,4.4,RSC,Bajhang
4/25/56,8/10/99,,27.795,86.208,5.7,NSC,Dolakha
5/9/56,8/25/99,,28.157,84.742,4.5,NSC,Gorkha
6/3/56,9/20/99,,27.38,87.897,4.5,NSC,Taplejung 
8/25/56,12/11/99,,30.159,81.563,4.6,NSC,Humla
10/6/56,1/20/00,,27.928,86.06,4.8,NSC,Sindhupalchowk
10/11/56,1/25/00,,27.378,88.059,4.6,NSC,Taplejung
11/14/56,2/26/00,,28.617,82.314,5.1,NSC,Jajarkot
11/30/56,3/13/00,,29.77,81.41,4.2,NSC,Bajhang
11/30/56,3/13/00,,27.99,87.42,5,NSC,Taplejung
11/30/56,3/13/00,,27.73,87.71,5.1,NSC,Sankhuwasabha
12/4/56,3/17/00,,27.76,87.55,4.2,NSC,Sankhuwasabha
2/20/57,6/2/00,,28.07,83.29,4.2,NSC,Arghanchi
5/17/57,9/2/00,,28.071,85.334,4.5,NSC,Nuwakot
9/16/57,12/31/00,,27.84,87.71,4.1,NSC,Taplejung
10/13/57,1/26/01,,24.173,69.853,7,NSC,Bhuj/India
12/22/57,4/4/01,,27.806,86.171,4.8,NSC,Dolakha
1/2/58,4/15/01,,29.458,81.4,4.4,RSC,Bajura
3/27/58,7/11/01,,29.507,81.394,4.3,NSC,Bajhang
4/1/58,7/16/01,,27.97,84.68,5.9,NSC,Gorkha
4/1/58,7/16/01,,28.29,84.27,4.8,NSC,Lamjung
5/28/58,9/13/01,,29.821,80.644,5,NSC,Darchula
6/11/58,9/27/01,,26.98,87.78,4.8,NSC,Udayapur
7/11/58,10/27/01,,29.56,81.46,4.7,RSC,Humla
8/12/58,11/27/01,,29.53,81.81,5.8,RSC,Mugu
8/12/58,11/27/01,,29.63,81.79,5.7,RSC,Mugu
8/12/58,11/27/01,,29.52,81.99,5.2,RSC,Mugu
8/13/58,11/28/01,,29.59,81.77,4.5,RSC,Mugu
9/3/58,12/18/01,,29.58,81.8,4.8,RSC,Mugu
9/4/58,12/19/01,,23.83,89.88,4.8,NSC,Bangaladesh
10/21/58,2/3/02,,27.72,86.37,4.1,NSC,Dolakha
12/27/58,4/9/02,,27.46,86.174,4,NSC,Ramechhap
1/2/59,4/15/02,,26.87,86.31,4,NSC,Udayapur
1/19/59,5/2/02,,27.67,86.67,5.2,NSC,Solukhumbu
2/21/59,6/4/02,,30.71,81.34,6,NSC,Tibet
2/21/59,6/4/02,,28.79,80.53,4,NSC,Kanchanpur
2/22/59,6/5/02,,28.86,80.75,4,RSC,Kailali
2/24/59,6/7/02,,28.77,81.12,4,RSC,Kailali
2059-2-30,6/13/02,,28.23,84.86,4,NSC,Dhading
3/6/59,6/20/02,,25.63,88.38,5.5,NSC,Bangladesh
3/18/59,7/2/02,,27.17,84.82,4.1,NSC,Parsa
2059-3-32,7/16/02,,27.75,87.36,4.3,NSC,Sankhuwasava
4/26/59,8/11/02,,26.97,86.4,4.1,NSC,Udayapur
5/24/59,9/9/02,,28.98,28.98,4.1,NSC,Kailali
6/23/59,10/9/02,,28.18,83.9,4.1,NSC,Kaski
6/25/59,10/11/02,,28.28,83.94,4,NSC,Kaski
8/4/59,11/20/02,,29.61,81.56,4.4,RSC,Bajura
11/14/59,2/26/03,,28.47,86.01,5,NSC,Tibet
12/11/59,3/25/03,,27.18,89.59,5.7,NSC,Bhutan
12/15/59,3/29/03,,27.46,86.63,4,NSC,Tibet
12/21/59,4/4/03,,30.1,80.39,5,NSC,Pithoragarh
3/9/60,6/23/03,,27.79,87.97,4.8,NSC,Taplejung
4/12/60,7/28/03,,28.75,82.52,4.5,,Rukum
4/17/60,8/2/03,,29.51,82.1,4.4,NSC,Mugu
4/20/60,8/5/03,,27.99,86.03,4.2,NSC,Sidhupalchowk
6/7/60,9/24/03,,28.99,81.96,4.3,NSC,Dailekh
6/12/60,9/29/03,,27.52,87.86,4.6,NSC,Taplejung
7/12/60,10/29/03,,27.26,86.69,4,NSC,Khotang
7/19/60,11/5/03,,27.78,86.16,4.1,NSC,Dolakha
8/6/60,11/22/03,,28.47,83.91,5,NSC,Kaski
8/7/60,11/23/03,,28.45,83.94,4.5,NSC,Kaski
8/7/60,11/23/03,,28.41,83.97,3.6,NSC,Kaski
8/7/60,11/23/03,,28.3,83.88,4.4,NSC,Kaski
8/19/60,12/5/03,,28.4,83.93,4,NSC,Kaski
8/25/60,12/11/03,,29.85,80.54,4.1,NSC,Darchula
9/4/60,12/19/03,,27.06,87.97,4.2,NSC,Illam
9/19/60,1/3/04,,27.87,86.06,5.5,,"Listikot, Sindhupalchowk"
9/19/60,1/3/04,,27.76,86.07,4.5,NSC,"Listikot, Sindhupalchowk"
9/23/60,1/7/04,,28.07,85,4,NSC,"Darkha, Dhading"
10/19/60,2/2/04,,29.32,81.53,4.1,NSC,"Tolideval, Bajura"
11/2/60,2/14/04,,29.67,80.88,4.3,NSC,"Brahmajali, Bhajhang"
11/6/60,2/18/04,,27.61,87.8,4.7,NSC,"Amjilesa, Taplejung"
12/4/60,3/17/04,,27.67,87.82,4.1,NSC,"Amjilesa, Taplejung"
12/18/60,3/31/04,,27.18,87.63,4.6,NSC,"Isabun,Terathum"
